,project,address,address_edit,city,state,zip,contact_name,phone,company,contact_address,x0_bedroom,x1_bedroom,x2_bedroom,x3_bedroom,x4_bedroom,file,lat,long
17,YORKTOWNE WOODS,101 INDEPENDENCE DRIVE,101 INDEPENDENCE DRIVE,SEAFORD,DE,19973,L.P YORKTOWNE WOODS,302-629-8048,BETTER HOMES OF SEAFORD INC,"101 INDEPENDENCE DRIVE
SEAFORD, DE 19973",0,0,0,0,0,lihtc,38.655537,-75.60721
18,HAMPTON CIRCLE,600 HAMPTON CIRCLE,600 HAMPTON CIRCLE,SEAFORD,DE,19973,L.P. HAMPTON CIRCLE,Null,Null,"101 INDEPENDENCE CIRCLE
SEAFORD, DE 19973",0,31,4,0,0,lihtc,38.65666,-75.606514
19,GEORGETOWN PRESERVATION APARTMENTS,200 INGRAMTOWN ROAD,200 INGRAMTOWN ROAD,GEORGETOWN,DE,19947,GEORGETOWN ASSOC,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,24,23,28,0,lihtc,38.691235,-75.3788
20,GEORGETOWN I,200 INGRAMTOWN RD,200 INGRAMTOWN RD,GEORGETOWN,DE,19947,KEVIN KELLY,302-764-9430,ARBOR MGMT,"4 DENNY RD
WILMINGTON, DE 19809-3445",0,16,24,10,0,lihtc,38.691235,-75.3788
21,GEORGETOWN II APARTMENTS,200 INGRAMTOWN ROAD,200 INGRAMTOWN ROAD,GEORGETOWN,DE,19947,LP GEORGETOWN ASSOCIATES II,Null,Null,"4 DENNY RD
WILMINGTON, DE 19809",0,0,0,0,0,lihtc,38.691235,-75.3788
22,CHEER APARTMENTS,1121 CLARK DRIVE,1121 CLARK DRIVE,GEORGETOWN,DE,19947,L.P. CHEER APARTMENTS,302-856-5187,Null,"546 SOUTH BEDFORD STREET
GEORGETOWN, DE 19947",0,0,0,0,0,lihtc,38.701485,-75.368034
23,ELIZABETH CORNISH LANDING ANNEX,400 ELIZABETH CORNISH LANDING,10 ELIZABETH CORNISH LNDG,BRIDGEVILLE,DE,19933,ELIZ. LANDING,302-422-8255,MHDC,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.739883,-75.59253
24,CANTERBURY APARTMENTS,304 CANTERBURY LANE,304 CANTERBURY LANE,BRIDGEVILLE,DE,19933,LLP CANTERBURY ESTATES,410-269-0900,Null,"410 SEVERN AVENUE. SUITE B413
ANNAPOLIS, MD 21403",0,9,3,12,0,lihtc,38.74072,-75.59411
25,MARKET STREET APARTMENTS 2018,310 MARKET STREET,310 MARKET STREET,BRIDGEVILLE,DE,19933,MARKET PRESERVATION,302-422-8255,977 EAST MASTEN CIRCLE,"977 EAST MASTEN STREET
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.743034,-75.60316
26,SAVANNAH WEST,2500 SAVANNAH WEST SQUARE,2500 SAVANNAH WEST SQUARE,LEWES,DE,19958,LP SAVANNAH WEST ASSOCIATES,302-422-8255,DAVID MOORE,"977 E. MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.74555,-75.15503
27,MILLS LANDING,2500 SAVANNAH WEST SQUARE,2500 SAVANNAH WEST SQUARE,LEWES,DE,19958,LP MILLS LANDING ASSOCIATES,302-422-8255,DAVID MOORE,"977 E. MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.74555,-75.15503
28,SAVANNAH EAST,3700 SAVANNAH EAST SQUARE,3700 SAVANNAH EAST SQUARE,LEWES,DE,19958,LP SAVANNAH EAST ASSOCIATES,302-422-8255,DAVID MOORE,"977 E. MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.74652,-75.15338
29,HARBOUR TOWNE,34232 WOODS EDGE DRIVE,34232 WOODS EDGE DRIVE,LEWES,DE,19958,HARBOUR ASSOC.,302-422-8255,DAVID MOORE,"977 E. MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.747684,-75.15526
30,JEFFERSON II,825 KINGS HWY,825 KINGS HWY,LEWES,DE,19958,ARTHUR EDWARDS JR,410-269-0900,EDWARDS INVESTMENT CO,"410 SEVERN AVE STE B-413
ANNAPOLIS, MD 21403-2524",0,0,0,0,0,lihtc,38.761642,-75.1453
31,JEFFERSON ESTATES,825 KINGS HIGHWAY APT. 101,825 KINGS HIGHWAY APT. 101,LEWES,DE,19958,LLC JEFFERSON ESTATES,410-269-0900,Null,"410 SEVERN AVENUE SUITE B413
ANNAPOLIS, MD 21403",0,0,0,0,0,lihtc,38.761642,-75.1453
32,LUTHER GARDENS ANNEX,1500 LUTHER CIRCLE,1500 LUTHER CIRCLE,MILTON,DE,19968,LUTHER ANNEX,302-422-9117,LUTHER GARDENS ANNEX LP,"613 LAKEVIEW AVENUE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.784767,-75.31167
33,MARSHALL MANOR,109 MARSHALL LANE,109 MARSHALL LANE,MILFORD,DE,19963,L.P. MARSHALL MANOR,302-422-8255,MILFORD HOUSING DEV CORP,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.911686,-75.42135
34,VALLEY RUN,100-A VALLEY DRIVE,100-A VALLEY DRIVE,MILFORD,DE,19963,Null,302-273-1450,RICK BANNING,"P O BOX 245
NASSAU, DE 19969",0,0,0,0,0,lihtc,38.915146,-75.43769
35,BRIGHTWAY COMMONS I,200 TULL WAY,300 AURORA PL,MILFORD,DE,19963,BRIGHTWAY COMMONS/BANNEKER,703-341-5000,VOLUNTEER OF AMERICA,"1660 DUKE STREET
ALEXANDRIA, VA 22314-3427",12,12,36,12,8,lihtc,38.922703,-75.4332
36,BRIGHTWAYS COMMONS II,200 TULL WAY,300 AURORA PL,MILFORD,DE,19963,VOA BRIGHTWAYS COMMONS II,703-341-5000,"AFFORDABLE HOUSING, LP","1660 DUKE STREET
ALEXANDRIA, VA 22314",0,8,22,14,0,lihtc,38.922703,-75.4332
37,WEST STREET MANOR,700 MASON AVENUE,700 MASON AVENUE,HARRINGTON,DE,19952,L.P. WEST STREET ELDERLY,302-422-8255,DYER MCCREA VENTURES LLC,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",0,32,0,0,0,lihtc,38.924343,-75.58332
38,WEST STREET MANOR ANNEX,700 MADISON AVENUE,700 MASON AVE,HARRINGTON,DE,19952,L.P. WEST STREET MANOR ANNEX,302-422-8255,WEST STREET MANOR ANNEX LP,"977 EAST MASTEN CIRCLE
MILFORD, DE 19960",0,0,0,0,0,lihtc,38.924343,-75.58332
39,MILFORD CROSSING,806-A MOYER CIRCLE EAST,806-A MOYER CIRCLE EAST,MILFORD,DE,19963,L.P. MILFORD CROSSING ASSOC,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,48,24,0,lihtc,38.926926,-75.43909
40,VILLAS AT MILFORD CROSSING,806-A MOYER CIRCLE EAST,806-A MOYER CIRCLE EAST,MILFORD,DE,19963,MILFORD ASSOCIATES,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,0,0,0,lihtc,38.926926,-75.43909
41,CASCADES,151 CASCADES LANE,151 CASCADES LANE,MILFORD,DE,19963,LLC CASCADES,856-662-1730,Null,"5 POWELL LANE
COLLINGSWOOD, NJ 8108",0,36,22,18,0,lihtc,38.92708,-75.44315
42,HERITAGE MANOR,"131 W. CENTER STREET, APT #33","131 W. CENTER STREET, APT #33",HARRINGTON,DE,19952,L.P. HARRINGTON ELDERLY,410-479-3655,HARRINGTON ELDERLY LP,"P.O. BOX 499
DENTON, MD 21629",0,32,0,0,0,lihtc,38.928276,-75.58039
43,COLONY SOUTH,250 WILLIAMSBURG DRIVE,250 WILLIAMSBURG DRIVE,MILFORD,DE,19963,L.P. COLONY SOUTH,302-995-7408,INTERFAITH COMMUNITY HOUSEING OF DE,"613 WASHINGTON STREET
WILMINGTON, DE 19801",0,32,46,0,0,lihtc,38.948837,-75.429
44,PEACHTREE APARTMENTS,3000 ABEC LANE P.O. BOX 356,3000 ABEC LANE P.O. BOX 356,FELTON,DE,19943,L.P. PEACHTREE ASSOCIATES,Null,Null,"410 SEVERN AVENUE SUITE B-413
ANNAPOLIS, MD 21403",0,16,16,0,0,lihtc,39.0135,-75.56937
45,HURDS CROSSING,94 HURDS BLVD.,94 HURDS BLVD.,FELTON,DE,19943,L.P. HURD'S CROSSING,302-422-8255,MILFORD HOUSING DEV CORP,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",0,32,4,0,0,lihtc,39.015965,-75.57679
46,GENERALS GREENE PHASE IV,315 BILLY MITCHELL LANE #E-103,315 BILLY MITCHELL LANE #E-103,DOVER,DE,19901,GENERAL'S 2019,732-367-4007,DAVID BERNSTEIN,"250 CEDARBRIDGE AVENUE SUITE 282A
LAKEWOOD, NJ 8701",0,0,0,0,0,lihtc,39.12754,-75.49284
47,CLEARFIELD APTS,125 HAMAN DR,125 HAMAN DR,DOVER,DE,19904,BRAD INGERMAN,856-662-1730,INGERMAN GROUP,"5 POWELL LN
COLLINGSWOOD, NJ 8108",0,22,56,16,0,lihtc,39.13604,-75.54147
48,CAPITOL GREEN,416 SUSSEX AVENUE,416 SUSSEX AVENUE,DOVER,DE,19901,LLC CAPITOL GREEN APARTMENTS,856-662-1730,INGERMAN GROUP,"5 POWELL LANE
COLLINGSWOOD, NJ 8108",0,0,0,0,0,lihtc,39.15456,-75.516174
49,OWENS MANOR,426 SOUTH NEW STREET,426 S NEW ST,DOVER,DE,19904,LP OWENS MANOR,302-678-1965,DOVER HOUSING AUTHORITY,"76 STEVENSON DRIVE
DOVER, DE 19901",0,0,0,0,0,lihtc,39.155296,-75.5274
50,BAYARD PLAZA,206 W. LOOCKERMAN STREET,206 W LOOCKERMAN ST,DOVER,DE,19904,BAYARD LLC,302-422-8255,MHDC - DAVID MOORE,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",4,8,36,0,0,lihtc,39.157608,-75.52713
51,VILLAGE AT MCKEE BRANCH,36 HARMONY LANE,36 HARMONY LANE,DOVER,DE,19904,L.P. MCKEE BRANCH ASSOCIATES,302-422-8255,Null,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,39.16709,-75.55957
52,WILLIS ROAD,4-36 WILLIS ROAD,4-36 WILLIS ROAD,DOVER,DE,19901,LP WILLIS ROAD ASSOCIATES,302-678-1965,RUFUS MINCEY,"76 STEVENSON DRIVE
DOVER, DE 19901",0,0,0,17,0,lihtc,39.167778,-75.50698
53,LAURELS,14 ROCKFORD CROSSING,14 ROCKFORD CROSSING,DOVER,DE,19901,MEADOW ASSOCIATES,302-764-6400,PETER GILMAN,"P O BOX 4220
WILMINGTON, DE 19807",0,16,56,3,0,lihtc,39.171856,-75.50893
54,WALKER WOODS II,369 WALKER RD,369 WALKER RD,DOVER,DE,19904,RUSSELL HUXTABLE,302-422-8255,MILFORD HOUSING DEV CORP,"977 E MASUITEN CIR
MILFORD, DE 19963-1085",0,0,4,15,0,lihtc,39.17204,-75.534706
55,EAST LAKE GARDENS,100 LAKEVIEW DRIVE,100 LAKEVIEW DRIVE,DOVER,DE,19901,L.P. EAST LAKE PARTNERS,717-029-1191,C/O HDC MIDATLANTIC,"4-6 WEST KING STREET SUITE 4
LANCASTER, PA 17603",0,0,47,0,0,lihtc,39.172516,-75.52525
56,PERSIMMON TREE,500 PERSIMMON TREE LN #211,500 PERSIMMON TREE LN #211,DOVER,DE,19901,LP PERSIMMON ASSOCIATES,302-736-0924,Null,"200 WESTON DRIVE
DOVER, DE 19904",0,0,0,0,0,lihtc,39.19346,-75.515915
57,SMYRNA GARDENS,105 LAWN DRIVE APT 1-B,105 LAWN DRIVE APT 1-B,SMYRNA,DE,19977,PHASE FLATS,717-291-1911,HDC MID ATLANTIC,"EUVALINE ELLINGTON 4-6 WEST KING ST SUITE 4
LANCASTER, PA 17603",0,0,0,0,0,lihtc,39.300674,-75.59687
58,FRAZIER PLACE PHASE II,200 GOLDSBOROUGH WAY,200 GOLDSBOROUGH WAY,SMYRNA,DE,19977,LP FRAZIER PLACE II,410-833-5484,SCHUSTER MGMT CORP,"836 LITTLESTOWN PIKE
WESTMINSTER, MD 21157",0,0,0,0,0,lihtc,39.30179,-75.59817
59,FRAZIER PLACE,200 GOLDSBOROUGH WAY,200 GOLDSBOROUGH WAY,SMYRNA,DE,19977,LP FRAZIER ELDERLY,410-833-5484,JOHN SCHUSTER,"836 LITTLESTOWN PIKE
WESTMINISTER, MD 21157",0,30,0,0,0,lihtc,39.30179,-75.59817
60,COMMERCE SQUARE APARTMENTS,101 TALON COURT,101 TALON COURT,SMYRNA,DE,19977,LP COMMERCE SQUARE ASSOCIATES,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,60,20,0,lihtc,39.30451,-75.59653
61,HERON RUN,363 EAST COMMERCE STREET,363 EAST COMMERCE STREET,SMYRNA,DE,19977,LP HERON RUN ASSOCIATES,413-615-7120,Null,"1813 SWEETBAY DRIVE, #9
SALISBURY, MD 21804",0,12,28,0,0,lihtc,39.304935,-75.597824
62,FAIRFIELD COMMONS,100 FAIRFIELD COURT,100 FAIRFIELD COURT,MIDDLETOWN,DE,19709,LP FAIRFIELD COMMONS ASSOC.,302-376-0920,LNWA/ARBOR MGMT CORPORATE HEADQUARTERS,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,0,0,0,lihtc,39.449425,-75.69622
63,NORTH LAKE VILLAGE II,400 N. CATHERINE STREET #31,400 N. CATHERINE STREET #31,MIDDLETOWN,DE,19709,L.P NORTH LAKE VILLAGE,Null,DAVE MOORE,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",0,4,6,0,0,lihtc,39.45363,-75.71354
64,NORTH LAKE VILLAGE I,400 N. CATHERINE STREET #31,400 N. CATHERINE STREET #31,MIDDLETOWN,DE,19709,L.P NORTH LAKE VILLAGE,Null,DAVE MOORE,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",0,2,22,12,6,lihtc,39.45363,-75.71354
65,MIDDLETOWN TRACE APARTMENTS,67 NEW STREET,67 NEW STREET,MIDDLETOWN,DE,19709,LLC MIDDLETOWN TRACE PRES,302-761-7309,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,30,15,20,0,lihtc,39.453728,-75.70865
66,GREENLAWN APARTMENTS,910 JANVIER CT,910 JANVIER CT,MIDDLETOWN,DE,19709,LLC GREENLAWN GROUP,610-543-0303,ROBERT WRIGHT,"905 WEST SPROUL ROAD SUITE 208
SPRINGFIELD, PA 19064",0,0,0,0,0,lihtc,39.45527,-75.71408
67,WILLOW CHASE APARTMENTS,500 BLAIR COURT,500 BLAIR COURT,NEW CASTLE,DE,19720,LP WILLOW ASSOCIATES,302-674-2003,GILMAN DEVELOPMENT COMPANY,"P O BOX 4220
WILMINGTON, DE 19807",0,0,0,0,0,lihtc,39.6378,-75.63042
68,NEWARK COMMONS,200 VININGS WAY,200 VININGS WAY,NEWARK,DE,19702,L.P. NEWARK COMMONS,410-962-0595,NEWARK COMMONS LP,"218 N. CHARLES STREET SUITE 220
BALTIMORE, MD 19702",0,40,120,60,0,lihtc,39.643463,-75.71751
69,CHRISTIANA FARMS,215 CHRISTIANA FARMS PL,215 CHRISTIANA FARMS PL,NEWARK,DE,19702,PETER GILMAN,302-674-2003,GILMAN DEVELOPMENT COMPANY,"PO BOX 4220
WILMINGTON, DE 19809-2175",0,16,52,8,0,lihtc,39.64687,-75.71191
70,CHRISTIANA FARMS I,215 CHRISTIANA FARMS PLACE,215 CHRISTIANA FARMS PLACE,NEWARK,DE,19702,CHRISTIANA ASSOCIATES,302-764-6400,PETER GILMAN,"P O BOX 4220
WILMINGTON, DE 19807",0,0,0,0,0,lihtc,39.64687,-75.71191
71,CHRISTIANA FARMS II,215 CHRISTIANA FARMS PLACE,215 CHRISTIANA FARMS PLACE,NEWARK,DE,19702,SECOND FARMS,302-764-6400,PETER GILMAN,"P O BOX 4220
WILMINGTON, DE 19807",0,0,0,0,0,lihtc,39.64687,-75.71191
72,WILTON CLUB,113 HETHERTON LANE,113 HETHERTON LANE,NEW CASTLE,DE,19720,LP WILTON CLUB ASSOCIATES,302-764-9430,WILLIAM DEMARCO,"4 DENNY ROAD
WILMINGTON, DE 19801",0,0,42,18,0,lihtc,39.653263,-75.62417
73,SPENCER PRESERVATION APARTMENTS,37 FAIRHAVEN COURT,37 FAIRHAVEN COURT,NEW CASTLE,DE,19720,LP SPENCER PRESERVATION ASSOC,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,0,0,0,lihtc,39.6533,-75.6324
74,VICTORIA MEWS,12A O'DANIEL AVENUE,12A O'DANIEL AVENUE,NEWARK,DE,19711,L.P. VICTORIA MEWS ASSOCIATES,302-235-2500,DELAWARE VALLEY DEVELOPMENT CO,"726 YORKLYN ROAD SUITE 200
HOCKESSIN, DE 19707",0,46,57,0,0,lihtc,39.67293,-75.76945
75,MARROWS COURT PRESERVATION,100-A WITHERSPOON LANE,100-A WITHERSPOON LANE,NEWARK,DE,19713,LLC MARROWS COURT PRESERVATIO,302-764-9430,Null,"4 DENNY ROAD
WILMINGTON, DE 19809",0,50,0,0,0,lihtc,39.673676,-75.72922
76,CARLETON COURT APARTMENTS,1900 SOUTHWAY DRIVE,1900 SOUTHWAY DRIVE,NEWARK,DE,19713,LLC CARLETON CT PRESER ASSOC,Null,C/O LEON WEINER ASSOC,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,0,0,0,lihtc,39.677025,-75.72675
77,COACHMANS MANOR,401 CARRIAGE WAY,401 CARRIAGE WAY,NEW CASTLE,DE,19720,LLC COACHMANS MANOR,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,0,0,0,lihtc,39.67801,-75.566795
78,"ARBOR PLACE, PHASE III",229 PARMA AVENUE,229 PARMA AVENUE,NEW CASTLE,DE,19720,LP PARMA AVENUE APARTMENTS,302-652-3991,INTERFAITH COMMUNITY HOUSEING OF DE,"613 WASHINGTON STREET
WILMINGTON, DE 19801",0,2,2,19,0,lihtc,39.705273,-75.55681
79,ARBOR PLACE I - PRESERVATION,229 PARMA AVENUE,229 PARMA AVENUE,NEW CASTLE,DE,19720,ARBOR LIMITED,302-995-7408,INTERFAITH COMMUNITY HOUSEING OF DE,"613 WASHINGTON STREET
WILMINGTON, DE 19801",0,2,11,30,0,lihtc,39.705273,-75.55681
80,BUFORD MANLOVE MANOR,408 KIAMENSI ROAD,408 KIAMENSI ROAD,WILMINGTON,DE,19804,LLC BUFORD MANLOVE MANOR,302-652-3991,INTERFAITH COMMUNITY HSG OF DE,"613 WASHINGTON STREET
WILMINGTON, DE 19801",0,40,0,0,0,lihtc,39.722767,-75.62372
81,FARRAND VILLAGE,16 DEVILLE CIRCLE,16 DEVILLE CIRCLE,WILMINGTON,DE,19808,KIRKWOOD GROUP,610-543-0303,"INVESTORS, LLC","905 SPROUL ROAD, SUITE208
SPRINGFIELD, PA 19064",0,0,0,0,0,lihtc,39.73029,-75.65067
82,CYNWYD APARTMENTS,1302-2 CYNWYD CLUB DRIVE,1302-2 CYNWYD CLUB DRIVE,WILMINGTON,DE,19808,L.P. CYNWYD VENTURES,302-235-2500,DELAWARE VALLEY DEVELOPMENT CO,"726 YORKLYN ROAD, SUITE 150
HOCKESSIN, DE 19707",0,0,0,0,0,lihtc,39.732613,-75.66554
83,MARKET STREET VILLAGE,"322 A STREET, SUITE 200","322 A STREET, SUITE 200",WILMINGTON,DE,19801,LLC MARKET STREET VILLAGE,302-691-2122,ROBERT BUCCINI,"322 A STREET, SUITE 200
WILMINGTON, DE 19801",0,0,0,0,0,lihtc,39.73362,-75.55135
84,RIVER COMMONS,200 NORTH POPLAR STREET,200 NORTH POPLAR STREET,WILMINGTON,DE,19801,LP RIVER COMMONS ASSOCIATES,302-571-5781,ERNEST CONGO,"P.O. BOX 2593
WILMINGTON, DE 19805",0,0,0,0,0,lihtc,39.737198,-75.548416
85,BETHEL VILLA,506 EAST 5TH STREET,506 EAST 5TH STREET,WILMINGTON,DE,19801,L.P. BETHEL VILLA ASSOCIATES,610-278-1733,ISRAEL ROIZMAN,"832 E GERMANTOWN PIKE SUITE 5
PLYMOUTH MEETING, PA 19462",0,0,0,0,0,lihtc,39.73902,-75.54559
86,WINDSOR APARTMENTS,500 N. WALNUT STREET,500 N. WALNUT STREET,WILMINGTON,DE,19801,LP NEW WINDSOR APTS. ASSOC.,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19801",52,117,0,0,0,lihtc,39.740116,-75.54807
87,WEST QUAKER HILL APARTMENTS,226D N. WEST STREET,226D N. WEST STREET,WILMINGTON,DE,19801,WEST HILL,401-453-4455,PROPERTY ADVISORY GROUP INC,"4 CATHEDRAL SQUARE
PROVIDENCE, RI 2903",0,21,32,0,0,lihtc,39.74032,-75.55523
88,COMPTON PARK APARTMENTS,650 N. WALNUT STREET,650 N. WALNUT STREET,WILMINGTON,DE,19801,COMPTON PRESV.,302-764-9430,ARBOR MGMT,"4 DENNY RD
WILMINGTON, DE 19809",0,22,33,0,0,lihtc,39.74113,-75.54738
89,COMPTON TOWNE HOUSE APARTMENTS,831-A TOWNE COURT,831-A TOWNE COURT,WILMINGTON,DE,19801,L.P NEW COMPTON TOWNE ASSOC.,302-764-9430,ARBOR MGMT,"4 DENNEY ROAD
WILMINGTON, DE 19809",0,0,1,48,27,lihtc,39.741875,-75.54431
90,WEST CENTER VILLAGE,606 N. JEFFERSON ST.,606 N. JEFFERSON ST.,WILMINGTON,DE,19801,L.P. WCV ASSOCIATES,302-235-2500,GEORGE BEER,"726 YORKLYN ROAD, SUITE 200
HOCKESSIN, DE 19707",0,0,0,0,0,lihtc,39.744076,-75.5553
91,MONROE TERRACE,606 N. JEFFERSON STREET,606 N. JEFFERSON STREET,WILMINGTON,DE,19801,MONROE ASSOCIATES,302-235-2500,GLENN WORGAN,"726 YORKLYN ROAD, SUITE 200
HOCKESSIN, DE 19707",0,0,0,0,0,lihtc,39.744076,-75.5553
92,WEST CENTER PLACE,622 N JEFFERSON STREET,622 N JEFFERSON STREET,WILMINGTON,DE,19801,LP WEST CENTER PLACE,302-652-3991,DARLENE SAMPLE,"613 WASHINGTON STREET
WILMINGTON, DE 19801",0,0,0,0,0,lihtc,39.74418,-75.55522
